total_population,rural_population,urban_population,code,state,district,total,rural,urban
85295,54653,30642,276,MANIPUR,THOUBAL,0.1969634797,0.2140779097,0.166438222
583941,483188,100753,112,RAJASTHAN,NAGAUR,0.5846481066,0.6719951654,0.1657518883
379790,358566,21224,185,UTTAR PRADESH,BASTI,0.348877011,0.3597664028,0.1649076517
207090,162811,44279,139,UTTAR PRADESH,BAGHPAT,0.2858660486,0.31877453,0.1648637051
266035,170853,95182,46,PUNJAB,BHATINDA,0.1229161576,0.1006713373,0.1628459162
215602,137799,77803,561,KARNATAKA,GADAG,0.1716125082,0.1770694998,0.1619474827
330990,226245,104745,581,KARNATAKA,KOLAR,0.1565001964,0.1546995514,0.1603895174
888553,652254,236299,540,TELANGANA,WARANGAL,0.1681385353,0.171098989,0.1599668217
180912,170239,10673,347,JHARKHAND,CHATRA,0.9739541877,1.025029517,0.1592804272
529407,473512,55895,377,ODISHA,BALASORE,0.3575698848,0.3809829529,0.1592271223
170704,141801,28903,459,MADHYA PRADESH,ASHOKNAGAR,0.186873184,0.1925233249,0.1591530291
313521,237380,76141,558,KARNATAKA,BIDAR,0.1719183085,0.1760889713,0.1589156959
355377,238746,116631,556,KARNATAKA,BAGALKOT,0.1764323521,0.1851339918,0.1586199209
260316,214896,45420,350,JHARKHAND,DEOGHAR,0.3030931637,0.3336497655,0.1585204756
822591,274212,548379,157,UTTAR PRADESH,LUCKNOW,0.2216168181,0.3500940878,0.1573729118
596110,488062,108048,222,BIHAR,BEGUSARAI,0.332992233,0.3718789826,0.1573374796
298256,227645,70611,420,MADHYA PRADESH,BHIND,0.1958049461,0.2077796569,0.1571993032
414689,370734,43955,301,ASSAM,DHUBRI,0.8251967137,0.9044220384,0.1569787282
209558,171971,37587,168,UTTAR PRADESH,HAMIRPUR,0.4103875777,0.4657762065,0.1569691649
361470,297601,63869,151,UTTAR PRADESH,PILIBHIT,0.6584225524,0.7661264579,0.1565704802
447776,416017,31759,115,RAJASTHAN,BARMER,4.160115772,4.465923268,0.1542869738
489201,86390,402811,629,TAMILNADU,KANNIYAKUMARI,0.1800895746,0.3009607593,0.1541665943
480303,212566,267737,49,PUNJAB,AMRITSAR,0.1738485914,0.1999379016,0.153135353
746222,475575,270647,150,UTTAR PRADESH,BAREILLY,0.5198184991,0.7285917048,0.1529667796
482440,437289,45151,193,UTTAR PRADESH,BALLIA,0.6361412818,0.6860451555,0.1528205355
472564,426692,45872,190,UTTAR PRADESH,DEORIA,0.300700011,0.3166218256,0.1525985351
322737,273445,49292,170,UTTAR PRADESH,BANDA,0.5220969396,0.5887838505,0.1521545078
338205,283522,54683,398,ODISHA,KORAPUT,0.4583019175,0.5174201649,0.1517839182
473293,310762,162531,374,ODISHA,SUNDARGARH,0.5159594585,0.7069718949,0.1507404741
161688,137102,24586,61,UTTARAKHAND,GARHWAL (PAURI GARHWAL),1.390950473,1.613397325,0.15049215
617063,563679,53384,212,BIHAR,KATIHAR,0.2706368718,0.2820754366,0.1498576352
290474,245668,44806,201,UTTAR PRADESH,ETAH,0.455462451,0.5112590976,0.1495335446
628808,476873,151935,134,UTTAR PRADESH,BIJNOR,0.2996145087,0.3474719684,0.149405996
406629,349736,56893,375,ODISHA,KEONJHAR,0.4972591724,0.5538463298,0.1494032658
290388,42247,248141,322,ASSAM,KAMRUP METROPOLITAN,0.1828587958,0.3858262125,0.1483027795
386899,346401,40498,306,ASSAM,SONITPUR,0.4135446202,0.4445714649,0.1481554645
208071,112525,95546,70,HARYANA,AMBALA,0.113422822,0.08442568318,0.1475728968
402139,257060,145079,568,KARNATAKA,SHIMOGA,0.1872486876,0.2104567027,0.1461272824
42344,30016,12328,262,NAGALAND,MOKOKCHUNG,0.2763083318,0.3298240938,0.146009085
282311,220309,62002,582,KARNATAKA,CHIKABALLAPURA,0.1377913011,0.1357184682,0.1451566079
469702,215676,254026,357,JHARKHAND,Purbi Singhbhum,0.1552047894,0.1673807007,0.1448670609
637738,0,637738,519,MAHARASHTRA,MUMBAI,0.1445734769,0,0.1445734769
329473,299000,30473,163,UTTAR PRADESH,KANPUR DEHAT,0.6738033162,0.7277591973,0.1443901158
756894,602216,154678,388,ODISHA,GANJAM,0.2202422004,0.2397810752,0.1441704703
329516,302242,27274,116,RAJASTHAN,JALOR,1.324366647,1.430972532,0.142993327
407572,378135,29437,382,ODISHA,JAJPUR,0.2541882171,0.2628690811,0.1426775826
168278,136570,31708,412,CHHATTISGARH,Dhamtari,0.8325508979,0.9928974152,0.1419200202
311184,262409,48775,148,UTTAR PRADESH,MAINPURI,0.4907064631,0.5556211868,0.1414659149
328995,232147,96808,626,TAMILNADU,RAMANATHAPURAM,0.1696074408,0.1817813713,0.1404842575
325456,254181,71275,564,KARNATAKA,HAVERI,0.1204463891,0.1148787675,0.1403016485
421727,396391,25336,217,BIHAR,GOPALGANJ,0.5083857567,0.532050425,0.1381433533
373391,339364,34027,370,ODISHA,BARGARH,0.2335353557,0.243396471,0.1351867635
227041,195143,31898,512,MAHARASHTRA,HINGOLI,0.1493122388,0.1516836371,0.1348046899
201047,175080,25967,50,PUNJAB,TARN TARAN,0.2133829403,0.2250399817,0.1347864597
287219,216920,70299,165,UTTAR PRADESH,JALAUN,0.3955170097,0.4803614236,0.1337145621
246983,220760,26223,311,ASSAM,SIVASAGAR,0.4004324184,0.4321435043,0.1334706174
172004,155335,16669,390,ODISHA,KANDHAMAL,0.4447570987,0.4783210481,0.1319815226
267840,214114,53726,120,RAJASTHAN,TONK,0.3983721625,0.4656397994,0.1302907345
10914,6305,4609,288,MIZORAM,SAIHAG,2.253985706,3.806502776,0.1301800824
75942,70511,5431,373,ODISHA,DEOGARH,0.3252482157,0.3403724242,0.1288897072
375970,242492,133478,101,RAJASTHAN,BIKANER,1.784716866,2.69617142,0.1288601867
217878,186503,31375,167,UTTAR PRADESH,Lalitpur,0.9441063347,1.081483944,0.1274900398
545073,446114,98959,523,MAHARASHTRA,BID,0.1757562748,0.1864994149,0.127325458
245745,218935,26810,508,MAHARASHTRA,GADCHIROLI,1.442552239,1.603672323,0.1268183514
253987,206526,47461,123,RAJASTHAN,RAJSAMAND,0.5189241969,0.6091242749,0.1264195866
253987,206526,47461,108,RAJASTHAN,SAWAI MADHOPUR,0.5189241969,0.6091242749,0.1264195866
327405,311465,15940,379,ODISHA,KENDRAPARA,0.427299522,0.442746376,0.1254705144
246313,174548,71765,569,KARNATAKA,UDUPI,0.378786341,0.4829617068,0.1254093221
582676,438742,143934,142,UTTAR PRADESH,BULANDSHAHR,0.2409572387,0.2794352945,0.1236677922
587648,544764,42884,376,ODISHA,MAYURBHANJ,0.2685280985,0.2801213002,0.1212573454
393441,291440,102001,136,UTTAR PRADESH,RAMPUR,0.6211858957,0.7963903376,0.1205870531
301115,250346,50769,428,MADHYA PRADESH,DAMOH,0.1441309799,0.1489937926,0.1201520613
258040,239614,18426,186,UTTAR PRADESH,SANT KABIR NAGAR,0.3038288637,0.3180114684,0.1193965049
225964,191615,34349,396,ODISHA,RAYAGADA,0.392982953,0.4420322,0.1193630091
11580,9896,1684,268,NAGALAND,LONGLENG,0.3367875648,0.3738884398,0.1187648456
348760,294816,53944,525,MAHARASHTRA,OSMANABAD,0.1404977635,0.1444969065,0.1186415542
230968,213265,17703,385,ODISHA,NAYAGARH,0.4143431125,0.4388905821,0.118623962
405076,307984,97092,557,KARNATAKA,BIJAPUR,0.2471141218,0.2876772819,0.118444362
167448,2690,164758,10,JAMMU & KASHMIR,SRINAGAR,0.1164540634,-,0.1183554061
143728,53262,90466,586,GOA,SOUTH GOA,0.1913336302,0.3154218768,0.1182764796
202184,161598,40586,106,RAJASTHAN,DHAULPUR,0.4772880149,0.567457518,0.1182673828
1145904,502634,643270,110,RAJASTHAN,JAIPUR,0.1760182354,0.250281517,0.1179908903
38987,32185,6802,267,NAGLAND,TUENSANG,0.3257496088,0.3697374553,0.1176124669
177197,97889,79308,361,JHARKHAND,RAMGARH,0.1884907758,0.246,0.1172643365
980739,746956,233783,534,TELANGANA,KARIMNAGAR,0.1928137863,0.2164786145,0.1172027051
